Date,Open,High,Low,Close,Adj Close,Volume
01-10-2019,85,86,76.699997,81.400002,81.400002,3405311
03-10-2019,80.599998,80.949997,78.5,78.75,78.75,1422854
04-10-2019,79.150002,80.25,77.25,78.5,78.5,1071737
07-10-2019,78.900002,79.699997,78.099998,78.5,78.5,828665
09-10-2019,78.699997,81.449997,78.099998,79.400002,79.400002,1268265
10-10-2019,79.550003,81.199997,79,79.199997,79.199997,670965
11-10-2019,79.800003,80.5,78.199997,78.599998,78.599998,681521
14-10-2019,79,79.599998,77.550003,77.849998,77.849998,1434060
15-10-2019,78.400002,78.5,77,77.25,77.25,729005
16-10-2019,77.800003,78.75,77.349998,78.050003,78.050003,854867
17-10-2019,78.25,78.400002,75.5,76.400002,76.400002,2022274
18-10-2019,76.599998,82.400002,76.5,79.400002,79.400002,4736445
22-10-2019,79.050003,83.699997,79.050003,82.949997,82.949997,3462436
23-10-2019,83.199997,85.900002,81.849998,82.650002,82.650002,2346870
24-10-2019,83,84,79.650002,80.900002,80.900002,1433977
25-10-2019,81.5,81.699997,78.75,79.050003,79.050003,1365709
27-10-2019,null,null,null,null,null,null
29-10-2019,80,80.699997,79.099998,79.550003,79.550003,1867006
30-10-2019,80,81.599998,79.5,79.900002,79.900002,2696635
31-10-2019,80.199997,82.699997,79.699997,81.849998,81.849998,5155816
01-11-2019,82.199997,84.699997,82.199997,83,83,3673750
04-11-2019,83.199997,86.199997,82.800003,83.349998,83.349998,2829489
05-11-2019,83.650002,85.949997,83,85.449997,85.449997,3470582
06-11-2019,85.5,85.949997,83.199997,83.5,83.5,1616856
07-11-2019,83.599998,85.5,83.599998,84.699997,84.699997,4586782
08-11-2019,85.599998,88.599998,85.599998,86.849998,86.849998,6258041
11-11-2019,87.349998,88.400002,85.150002,86.900002,86.900002,2390106
13-11-2019,86.900002,86.900002,83.050003,83.400002,83.400002,1691320
14-11-2019,83,83.849998,79,80.25,80.25,2579465
15-11-2019,80,82.699997,79.5,81.349998,81.349998,1748531
18-11-2019,81.349998,82.349998,80.300003,81.800003,81.800003,2087573
19-11-2019,81.550003,84.099998,81.550003,83.650002,83.650002,2028488
20-11-2019,84.199997,85.900002,84,85.599998,85.599998,2269017
21-11-2019,86.5,99.75,85.349998,95.75,95.75,22362426
22-11-2019,95.099998,101.300003,92.5,100.150002,100.150002,14051512
25-11-2019,100.949997,113.900002,100.199997,110.699997,110.699997,30521473
26-11-2019,111.400002,114.25,106.300003,108.349998,108.349998,9168209
27-11-2019,106.699997,110.449997,102.849998,109.150002,109.150002,11668396
28-11-2019,109,112.5,107.099998,110.150002,110.150002,6977307
29-11-2019,110.300003,114.599998,108.800003,109.449997,109.449997,6000573
02-12-2019,109.800003,111,105.75,107.150002,107.150002,2691643
03-12-2019,106.449997,107.599998,102.849998,103.75,103.75,3448241
04-12-2019,102.949997,108.199997,102.349998,107.050003,107.050003,3528884
05-12-2019,107.400002,109.199997,105.550003,106.800003,106.800003,3685455
06-12-2019,107.300003,108,102.099998,103.199997,103.199997,3051336
09-12-2019,103.25,103.599998,95.5,96.349998,96.349998,3943628
10-12-2019,96.449997,97.400002,91.599998,91.949997,91.949997,1026760
11-12-2019,90.150002,96.5,88.550003,95.800003,95.800003,1409428
12-12-2019,100,101.699997,98,99.400002,99.400002,3101547
13-12-2019,100.400002,103.300003,99,100.349998,100.349998,1906393
16-12-2019,100.5,102.550003,99.400002,100,100,1654015
17-12-2019,100.25,100.800003,98.550003,98.900002,98.900002,1044597
18-12-2019,98.949997,99.900002,96.800003,97.550003,97.550003,1145998
19-12-2019,97.699997,98.900002,96.599998,98,98,1137989
20-12-2019,98.25,99.849998,96.75,97.349998,97.349998,1872536
23-12-2019,97.300003,98.150002,95.800003,96.150002,96.150002,918158
24-12-2019,96.5,96.900002,95.050003,95.199997,95.199997,884175
26-12-2019,95.400002,100.800003,94.150002,98.150002,98.150002,2893527
27-12-2019,98.800003,101.150002,98.25,99.5,99.5,1690208
30-12-2019,99.199997,103.849998,98.800003,102.300003,102.300003,2934901
31-12-2019,101.75,104.800003,101.5,102.699997,102.699997,2669300
01-01-2020,103.199997,103.400002,101.199997,101.5,101.5,982667
02-01-2020,101.400002,108.5,101.400002,106.349998,106.349998,4467967
03-01-2020,106.550003,109.75,106.150002,107.75,107.75,4053643
06-01-2020,105.599998,105.800003,100.599998,101.199997,101.199997,2434020
07-01-2020,103.099998,104.5,101.5,102.349998,102.349998,1932133
08-01-2020,100.150002,101.900002,99.550003,100.699997,100.699997,1345352
09-01-2020,102.5,106.599998,102.449997,105.5,105.5,2931674
10-01-2020,106,112.349998,105.050003,109.050003,109.050003,6251758
13-01-2020,109.949997,115.349998,109.5,112.25,112.25,5390707
14-01-2020,112.849998,113.650002,110.300003,110.849998,110.849998,1919376
15-01-2020,110.550003,112.849998,109.550003,110.849998,110.849998,1664918
16-01-2020,111.5,111.900002,109,109.550003,109.550003,1475763
17-01-2020,107.199997,111,105.099998,110.099998,110.099998,3442384
20-01-2020,110.900002,112.800003,107.650002,107.949997,107.949997,2854825
21-01-2020,107.25,108.800003,105.800003,106.199997,106.199997,1372187
22-01-2020,107,109.5,106.599998,107,107,1963642
23-01-2020,107.400002,108.400002,105.599998,106,106,1677550
24-01-2020,106.199997,107.699997,105.099998,105.349998,105.349998,1664744
27-01-2020,104.900002,105.900002,103.550003,104.050003,104.050003,1294553
28-01-2020,104.199997,104.849998,101.75,102.75,102.75,1178385
29-01-2020,103.75,104.599998,101.25,101.650002,101.650002,1390909
30-01-2020,102,103.699997,99.5,100.050003,100.050003,2171452
31-01-2020,100.599998,103,98.5,99.199997,99.199997,2159998
03-02-2020,94.599998,95.25,91.599998,92.099998,92.099998,2135154
04-02-2020,93,96,92.949997,95,95,2766962
05-02-2020,95.599998,97.449997,95.150002,95.800003,95.800003,2642858
06-02-2020,95.800003,98.900002,94.5,96.650002,96.650002,3639578
07-02-2020,96.699997,97,94.400002,94.800003,94.800003,1974933
10-02-2020,94.400002,94.800003,92.699997,93.050003,93.050003,1206619
11-02-2020,93.5,97.349998,93.400002,94.400002,94.400002,4202181
12-02-2020,94.650002,95.900002,93,93.25,93.25,1814135
13-02-2020,93.5,93.699997,91.849998,92.300003,92.300003,1398864
