Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,426.899994,426.899994,402.700012,412.649994,411.580963,4914716
2019-10-03,411.000000,421.000000,406.500000,418.100006,417.016846,2639852
2019-10-04,419.500000,431.299988,416.149994,418.350006,417.266205,4182360
2019-10-07,419.950012,419.950012,405.500000,408.250000,407.192352,2564196
2019-10-09,408.299988,427.000000,407.500000,423.350006,422.253265,4117690
2019-10-10,423.100006,427.299988,418.549988,422.149994,421.056335,2381621
2019-10-11,422.549988,443.000000,389.549988,441.350006,440.206635,17354782
2019-10-14,441.350006,446.450012,433.500000,440.899994,439.757782,5861895
2019-10-15,440.000000,448.500000,435.350006,446.549988,445.393127,3153015
2019-10-16,446.299988,447.850006,438.950012,446.799988,445.642487,2180925
2019-10-17,445.299988,447.700012,439.399994,446.299988,445.143768,1818421
2019-10-18,448.500000,451.149994,440.100006,444.149994,442.999359,2850227
2019-10-22,441.250000,457.750000,440.200012,453.899994,452.724091,2333810
2019-10-23,453.649994,456.799988,448.100006,454.250000,453.073181,2262575
2019-10-24,455.000000,456.000000,443.549988,446.850006,445.692383,1733751
2019-10-25,447.100006,461.450012,441.750000,459.850006,458.658691,2647759
2019-10-27,null,null,null,null,null,null
2019-10-29,463.899994,478.399994,462.000000,473.049988,471.824463,3498572
2019-10-30,478.950012,478.950012,462.250000,465.000000,463.795349,2640132
2019-10-31,465.000000,472.700012,460.149994,466.850006,465.640564,3944718
2019-11-01,467.299988,474.200012,462.399994,469.200012,467.984467,3649879
2019-11-04,471.399994,478.500000,467.049988,468.299988,467.086792,2393325
2019-11-05,470.149994,475.500000,465.149994,467.850006,466.637970,1391429
2019-11-06,469.049988,487.950012,464.250000,480.850006,479.604279,17751556
2019-11-07,482.000000,487.399994,470.000000,471.850006,470.627594,5892783
2019-11-08,470.100006,470.100006,461.250000,462.500000,461.301819,4300075
2019-11-11,459.399994,459.399994,451.750000,454.850006,453.671631,4109355
2019-11-13,452.000000,455.000000,446.000000,447.899994,446.739624,3001272
2019-11-14,445.200012,458.200012,442.649994,451.399994,450.230560,2659601
2019-11-15,448.000000,468.049988,435.399994,463.250000,462.049866,10693852
2019-11-18,463.000000,472.000000,457.649994,460.600006,459.406738,2847404
2019-11-19,461.200012,477.500000,459.549988,472.100006,470.876953,5080106
2019-11-20,472.000000,483.700012,468.649994,482.600006,481.349762,4080054
2019-11-21,482.600006,492.299988,476.600006,485.500000,484.242249,5600894
2019-11-22,485.000000,485.000000,472.700012,478.850006,477.609467,2778328
2019-11-25,478.250000,485.350006,475.899994,483.500000,482.247406,1465490
2019-11-26,483.000000,490.549988,476.700012,478.549988,477.310242,3880896
2019-11-27,475.000000,475.000000,464.549988,468.000000,466.787567,3494515
2019-11-28,472.000000,476.500000,464.100006,468.350006,467.136658,2933958
2019-11-29,469.649994,473.399994,465.600006,466.700012,465.490967,1307574
2019-12-02,469.600006,469.600006,455.350006,464.000000,462.797943,2492362
2019-12-03,465.000000,465.850006,460.000000,464.250000,463.047302,1067139
2019-12-04,463.000000,471.850006,462.000000,470.000000,468.782379,1426757
2019-12-05,469.500000,470.299988,460.399994,461.600006,460.404144,1483537
2019-12-06,463.000000,467.000000,454.000000,455.450012,454.270111,2520045
2019-12-09,457.399994,457.750000,444.600006,447.899994,446.739624,3761784
2019-12-10,450.600006,454.950012,449.500000,453.049988,451.876282,2807906
2019-12-11,453.000000,453.100006,446.700012,449.950012,448.784332,1806996
2019-12-12,452.200012,463.100006,452.200012,461.049988,459.855560,2730092
2019-12-13,461.049988,465.000000,456.600006,461.250000,460.055054,1213599
2019-12-16,463.049988,464.750000,457.500000,458.250000,457.062836,903737
2019-12-17,462.049988,466.200012,460.350006,463.950012,462.748077,2434853
2019-12-18,464.000000,469.250000,461.500000,467.799988,466.588074,1705929
2019-12-19,465.649994,471.500000,464.799988,467.600006,466.388611,1485123
2019-12-20,466.899994,474.450012,463.899994,465.750000,464.543396,2248997
2019-12-23,467.000000,469.000000,464.500000,467.850006,466.637970,866023
2019-12-24,467.250000,480.000000,465.500000,478.700012,477.459869,3262749
2019-12-26,478.700012,482.549988,472.250000,474.149994,472.921631,2887784
2019-12-27,474.549988,483.500000,472.799988,481.100006,479.853638,2005404
2019-12-30,481.100006,487.000000,478.250000,479.950012,478.706635,1809828
2019-12-31,479.950012,484.299988,476.950012,478.200012,476.961151,1640854
2020-01-01,481.000000,481.000000,474.450012,475.899994,474.667114,1316812
2020-01-02,478.850006,479.899994,472.299988,473.500000,472.273315,1406381
2020-01-03,475.799988,475.799988,467.250000,469.950012,468.732544,2252752
2020-01-06,469.799988,469.950012,461.200012,466.750000,465.540802,1501855
2020-01-07,466.000000,470.000000,463.649994,468.600006,467.386017,2365554
2020-01-08,467.799988,470.100006,461.600006,464.750000,463.545990,1507276
2020-01-09,467.500000,473.299988,467.500000,470.100006,468.882141,1700600
